time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-17T11:04:48.730Z,38.5413333,-119.4176667,3.42,2.78,ml,21,107,0.0709,0.07,nc,nc73625896,2021-09-17T22:36:18.312Z,"28km SSW of Smith Valley, NV",earthquake,0.18,0.47,0.38,21,reviewed,nc,nc
2021-09-17T10:48:09.348Z,-13.4057,167.368,10,4.8,mww,,65,2.035,0.3,us,us7000fc1g,2021-09-17T11:18:05.040Z,"55 km NNW of Sola, Vanuatu",earthquake,8.4,1.9,0.098,10,reviewed,us,us
2021-09-17T10:28:40.686Z,-13.4331,167.3944,10,5.8,mww,,64,2.01,0.87,us,us7000fc1e,2021-09-17T13:27:43.840Z,"51 km NNW of Sola, Vanuatu",earthquake,7.5,1.8,0.045,47,reviewed,us,us
2021-09-17T09:23:52.244Z,57.6979,-155.6471,2.1,2.8,ml,,,,0.57,ak,ak021by586cc,2021-09-17T11:03:36.040Z,"72 km W of Karluk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-09-17T08:36:49.568Z,-58.8803,-24.6626,40.78,4.6,mb,,83,10.272,1.21,us,us7000fc18,2021-09-17T08:56:55.040Z,"South Sandwich Islands region",earthquake,10.9,5.8,0.097,32,reviewed,us,us
2021-09-17T08:00:09.511Z,-58.8597,-24.7349,36.64,4.8,mb,,88,10.243,0.85,us,us7000fc15,2021-09-17T08:17:25.040Z,"South Sandwich Islands region",earthquake,12.2,9.2,0.091,37,reviewed,us,us
2021-09-17T06:41:11.430Z,31.4713333,-115.7266667,20.84,2.98,ml,7,129,0.09355,0.09,ci,ci39811511,2021-09-17T15:48:40.693Z,"84km ESE of Maneadero, B.C., MX",earthquake,0.54,0.65,0.119,7,reviewed,ci,ci
2021-09-17T06:38:46.300Z,19.2173333333333,-155.414666666667,35.45,3.13,ml,54,142,,0.12,hv,hv72712377,2021-09-17T21:17:08.200Z,"6 km ENE of P?hala, Hawaii",earthquake,0.45,0.55,0.142788687508398,39,reviewed,hv,hv
2021-09-17T06:11:19.586Z,-22.2768,-179.6729,577.63,4.3,mb,,101,4.989,0.63,us,us7000fc0r,2021-09-17T06:33:33.040Z,"south of the Fiji Islands",earthquake,15.5,10,0.094,32,reviewed,us,us
2021-09-17T06:05:17.895Z,61.412,-151.5193,87.8,3.2,ml,,,,0.72,ak,ak021by3bxwb,2021-09-17T17:37:01.305Z,"38 km NW of Beluga, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-09-17T06:05:11.626Z,-43.627,172.7991,10,3.1,ml,,185,0.131,0.88,us,us7000fc0q,2021-09-17T08:17:27.561Z,"South Island of New Zealand",earthquake,2.7,2,0.088,17,reviewed,us,us
2021-09-17T03:16:11.585Z,37.7938,141.5575,48.33,4.5,mb,,134,2.952,0.64,us,us7000fc03,2021-09-17T21:34:10.040Z,"60 km NE of Namie, Japan",earthquake,8.4,4.6,0.09,36,reviewed,us,us
2021-09-17T02:51:06.240Z,17.8338,-66.8638,11,2.84,md,17,231,0.2257,0.16,pr,pr2021260000,2021-09-17T03:23:01.471Z,"15 km SSE of Guánica, Puerto Rico",earthquake,0.58,0.44,0.21,13,reviewed,pr,pr
2021-09-17T02:40:18.250Z,-20.066,-69.2969,104.5,4.3,mb,,73,0.154,0.91,us,us7000fbzt,2021-09-17T16:55:11.925Z,"90 km E of Iquique, Chile",earthquake,5.1,4.1,0.103,27,reviewed,us,us
2021-09-17T00:04:59.811Z,-11.4909,162.1619,10,5,mb,,27,2.983,0.72,us,us7000fbz6,2021-09-17T01:18:18.437Z,"Solomon Islands",earthquake,7.6,1.8,0.068,70,reviewed,us,us
2021-09-16T23:05:06.234Z,54.9112,-156.2753,40.9,5,ml,,,,0.53,ak,ak021bwpwxny,2021-09-16T23:31:12.226Z,"204 km SE of Chignik, Alaska",earthquake,,14.2,,,reviewed,ak,ak
2021-09-16T22:45:26.944Z,16.9835,-96.1409,52.02,4.7,mww,,126,2.388,0.74,us,us7000fbyp,2021-09-17T16:05:21.177Z,"8 km SW of Ayutla, Mexico",earthquake,4,7.7,0.098,10,reviewed,us,us
2021-09-16T22:44:08.182Z,62.9486,-149.576,51.7,2.8,ml,,,,0.79,ak,ak021bwpjv9l,2021-09-16T22:55:08.251Z,"58 km SSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-09-16T21:51:57.257Z,62.0669,-149.742,29.1,2.9,ml,,,,0.63,ak,ak021bwp01ji,2021-09-17T18:42:54.508Z,"11 km SSE of Susitna North, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-09-16T21:45:18.880Z,38.4728333,-119.5121667,4.42,2.76,md,27,58,0.02503,0.09,nc,nc73625641,2021-09-17T11:03:12.114Z,"32km ENE of Dardanelle, CA",earthquake,0.17,0.24,0.184,66,reviewed,nc,nc
2021-09-16T20:59:41.017Z,61.3136,-146.2575,10.6,2.6,ml,,,,0.96,ak,ak021bwogahu,2021-09-17T13:52:10.040Z,"20 km NNE of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-09-16T20:50:43.324Z,-5.9657,154.8363,156.56,4.4,mb,,127,3.192,1,us,us7000fbxr,2021-09-17T14:14:01.040Z,"81 km WNW of Panguna, Papua New Guinea",earthquake,12,7.6,0.085,40,reviewed,us,us
2021-09-16T19:57:26.732Z,53.887,160.2366,76.53,4.1,mb,,141,1.284,0.87,us,us7000fbxb,2021-09-17T14:54:35.040Z,"138 km SE of Mil’kovo, Russia",earthquake,11.4,12.3,0.1,27,reviewed,us,us
